Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2396929-4,"(353.0199890136719, 139.69000244140625, 498.1499938964844, 152.34002685546875)","de Servicio de Saneamiento del Perú - Otass. (El Peruano, Normas Legales)"
1,https://andina.pe/agencia/noticia-pcm-destaca-articulacion-sunass-mejorar-continuidad-del-servicio-agua-potable-1028452.aspx,"(279.5899963378906, 304.1300048828125, 318.3399963378906, 316.7799987792969)","Sunass”, sostuvo el PCM. (Andina, Andin"
1,https://x.com/Agencia_Andina/status/1919750879915184521,"(319.3299865722656, 304.1300048828125, 367.8599853515625, 316.7799987792969)",", sostuvo el jefe del G ndina, Andina X, El Per"
1,https://elperuano.pe/noticia/269873-pcm-destaca-articulacion-de-sunass-por-mejorar-la-continuidad-del-servicio-de-agua-potable,"(368.8500061035156, 304.1300048828125, 427.1499938964844, 316.7799987792969)","el jefe del Gabinete sob dina X, El Peruano, El Pe"
1,https://x.com/DiarioElPeruano/status/1919756962176061495,"(428.1400146484375, 304.1300048828125, 496.2099914550781, 316.7799987792969)","Gabinete sobre la labor del ruano, El Peruano X, PCM,"
1,https://www.gob.pe/institucion/pcm/noticias/1162027-pcm-destaca-articulacion-de-sunass-por-mejorar-la-continuidad-del-servicio-de-agua-potable,"(497.20001220703125, 304.1300048828125, 526.1400146484375, 316.7799987792969)","la labor del ano X, PCM,"
1,https://x.com/pcmperu/status/1919739229447299471,"(82.80000305175781, 316.7799987792969, 122.13999938964844, 329.42999267578125)","organismo reg PCM X, AP N"
1,https://www.apnoticias.pe/peru/andina/pcm-destaca-articulacion-de-sunass-por-mejorar-la-continuidad-del-servicio-de-agua-potable-1422669,"(123.75, 316.7799987792969, 185.10000610351562, 329.42999267578125)","rganismo regulador adscri CM X, AP Noticias, Diario"
1,https://imacorpplataforma.com/wp-content/uploads/2025/05/DIARIO-UNO-POLITICA-2-PCM-RESALTA-LABOR-DE-SUNASS-EN-MEJORA-DEL-ACCESO-AL-AGUA-POTABLE-07-05-2025.jpg,"(186.7100067138672, 316.7799987792969, 243.17999267578125, 329.42999267578125)","ulador adscrito a la PCM oticias, Diario Uno)"
1,https://radioondaazul.com/sunass-inicia-acciones-contra-emsa-puno-por-grave-desabastecimiento-de-agua-en-multiples-zonas-de-puno/?fbclid=IwY2xjawKHF65leHRuA2FlbQIxMQABHtjYZjkdUw7cVz01XWc-J5VCT9loOcWIoW4XMzE3U5mnClJS7C_TXwqPd7Ia_aem_Hktds1fOrI2Ez0ub0aGYUA,"(376.92999267578125, 392.6700134277344, 466.6300048828125, 405.32000732421875)","iscalizadora, inició tres proces S. A. (Radio Onda Azul, Onda mama, Pachamama, La Decan"
1,https://www.facebook.com/share/p/16iwL3twkz/,"(469.260009765625, 392.6700134277344, 526.1400146484375, 405.32000732421875)","tres procesos de Azul, Onda Azul, a, La Decana, La"
1,https://www.facebook.com/share/p/19cHPJySEs/,"(82.80000305175781, 405.32000732421875, 140.2100067138672, 417.9700012207031)","atención de denu Onda Azul, radio Decana, La Deca"
1,https://sunassgobpe-my.sharepoint.com/personal/esosa_sunass_gob_pe/_layouts/15/stream.aspx?id=%2Fpersonal%2Fesosa%5Fsunass%5Fgob%5Fpe%2FDocuments%2FCompartido%2FEvidencias%5F2023%2D2024%2FPuno%2F2025%2E05%2E05%2E%20Radio%5Fatenci%C3%B3n%20de%20denuncias%20a%20Emsapuno%20S%2EA%2E%5FPachamama%2Emp4&referrer=StreamWebApp%2EWeb&referrerScenario=AddressBarCopied%2Eview%2E3ca2bcf4%2Db75b%2D407c%2D8767%2D7e3a13474df4,"(143.36000061035156, 405.32000732421875, 238.67999267578125, 417.9700012207031)","ón de denuncia contra la empre Azul, radio Pachamama, Pach na, La Decana noticias, Inforegió"
1,https://pachamamaradio.org/puno-sunass-inicio-3-atenciones-de-denuncia-a-emsapuno-por-falta-de-agua-potable-en-sectores-de-la-ciudad/?fbclid=IwY2xjawKHWPtleHRuA2FlbQIxMQBicmlkETFsRlRNanlNeTVhZFNYcDVPAR4cTjoMjBDeLJl8oEisqA0yL14d-HTsKoQDgxTdx62va9i_hc0NptFQrDnrRA_aem_Au7PUB7_vXmFHLIX8sc-Hg,"(241.8300018310547, 405.32000732421875, 308.0799865722656, 417.9700012207031)","ntra la empresa Emsapuno mama, Pachamama, Pach as, Inforegión, El Buho.pe"
1,https://www.facebook.com/share/p/1Bzsx8UpCj/,"(311.239990234375, 405.32000732421875, 377.489990234375, 417.9700012207031)","a Emsapuno S. A. (Radio mama, Pachamama, Pach El Buho.pe, Jornada, TV"
1,https://www.facebook.com/share/p/1AfwHc2Ao6/,"(380.6499938964844, 405.32000732421875, 446.8999938964844, 417.9700012207031)","S. A. (Radio Onda Azul, O mama, Pachamama, La D ornada, TV UNA, Cositel T"
